NAME                                TYPE      SIGNATURE       RESULT/VALUE                             FLAGS
.LimitRTPRIO                        property  t               0                                        const
.LimitRTPRIOSoft                    property  t               0                                        const
.LimitRTTIME                        property  t               18446744073709551615                     const
.LimitRTTIMESoft                    property  t               18446744073709551615                     const
.LimitSIGPENDING                    property  t               94472                                    const
.LimitSIGPENDINGSoft                property  t               94472                                    const
.LimitSTACK                         property  t               18446744073709551615                     const
.LimitSTACKSoft                     property  t               8388608                                  const
.LoadCredential                     property  a(ss)           0                                        const
.LockPersonality                    property  b               false                                    const
.LogExtraFields                     property  aay             0                                        const
.LogLevelMax                        property  i               -1                                       const
.LogNamespace                       property  s               ""                                       const
.LogRateLimitBurst                  property  u               0                                        const
.LogRateLimitIntervalUSec           property  t               0                                        const
.LogsDirectory                      property  as              0                                        const
.LogsDirectoryMode                  property  u               493                                      const
.MainPID                            property  u               838                                      emits-change
.ManagedOOMMemoryPressure           property  s               "auto"                                   -
.ManagedOOMMemoryPressureLimit      property  u               0                                        -
.ManagedOOMPreference               property  s               "none"                                   -
.ManagedOOMSwap                     property  s               "auto"                                   -
.MemoryAccounting                   property  b               true                                     -
.MemoryAvailable                    property  t               18446744073709551615                     -
.MemoryCurrent                      property  t               8470528                                  -
.MemoryDenyWriteExecute             property  b               false                                    const
.MemoryHigh                         property  t               18446744073709551615                     -
.MemoryLimit                        property  t               18446744073709551615                     -
.MemoryLow                          property  t               0                                        -
.MemoryMax                          property  t               18446744073709551615                     -
.MemoryMin                          property  t               0                                        -
.MemorySwapMax                      property  t               18446744073709551615                     -
.MountAPIVFS                        property  b               false                                    const
.MountFlags                         property  t               0                                        const
.MountImages                        property  a(ssba(ss))     0                                        const
.NFileDescriptorStore               property  u               0                                        -
.NRestarts                          property  u               0                                        emits-change
.NUMAMask                           property  ay              0                                        const
.NUMAPolicy                         property  i               -1                                       const
.NetworkNamespacePath               property  s               ""                                       const
.Nice                               property  i               0                                        const
.NoExecPaths                        property  as              0                                        const
.NoNewPrivileges                    property  b               true                                     const
.NonBlocking                        property  b               false                                    const
.NotifyAccess                       property  s               "none"                                   const
.OOMPolicy                          property  s               "stop"                                   const
.OOMScoreAdjust                     property  i               0                                        const
.PAMName                            property  s               ""                                       const
.PIDFile                            property  s               ""                                       const
.PassEnvironment                    property  as              0                                        const
.Personality                        property  s               ""                                       const
.PrivateDevices                     property  b               false                                    const
.PrivateIPC                         property  b               false                                    const
.PrivateMounts                      property  b               false                                    const
.PrivateNetwork                     property  b               false                                    const
.PrivateTmp                         property  b               true                                     const
.PrivateUsers                       property  b               false                                    const
.ProcSubset                         property  s               "all"                                    const
.ProtectClock                       property  b               false                                    const
.ProtectControlGroups               property  b               false                                    const
.ProtectHome                        property  s               "yes"                                    const
.ProtectHostname                    property  b               false                                    const
.ProtectKernelLogs                  property  b               false                                    const
.ProtectKernelModules               property  b               false                                    const
.ProtectKernelTunables              property  b               false                                    const
.ProtectProc                        property  s               "default"                                const
.ProtectSystem                      property  s               "yes"                                    const
.ReadOnlyPaths                      property  as              0                                        const
.ReadWritePaths                     property  as              0                                        const
.ReloadResult                       property  s               "success"                                emits-change
.RemainAfterExit                    property  b               false                                    const
.RemoveIPC                          property  b               false                                    const
.Restart                            property  s               "on-abort"                               const
.RestartForceExitStatus             property  (aiai)          0 0                                      const
.RestartKillSignal                  property  i               15                                       const
.RestartPreventExitStatus           property  (aiai)          0 0                                      const
.RestartUSec                        property  t               100000                                   const
.RestrictAddressFamilies            property  (bas)           true 3 "AF_NETLINK" "AF_QIPCRTR" "AF_UN… const
.RestrictNamespaces                 property  t               18446744073709551615                     const
.RestrictRealtime                   property  b               false                                    const
.RestrictSUIDSGID                   property  b               false                                    const
.Result                             property  s               "success"                                emits-change
.RootDirectory                      property  s               ""                                       const
.RootDirectoryStartOnly             property  b               false                                    const
.RootHash                           property  ay              0                                        const
.RootHashPath                       property  s               ""                                       const
.RootHashSignature                  property  ay              0                                        const
.RootHashSignaturePath              property  s               ""                                       const
.RootImage                          property  s               ""                                       const
.RootImageOptions                   property  a(ss)           0                                        const
.RootVerity                         property  s               ""                                       const
.RuntimeDirectory                   property  as              0                                        const
.RuntimeDirectoryMode               property  u               493                                      const
.RuntimeDirectoryPreserve           property  s               "no"                                     const
.RuntimeMaxUSec                     property  t               18446744073709551615                     const
.SELinuxContext                     property  (bs)            false ""                                 const
.SameProcessGroup                   property  b               false                                    const
.SecureBits                         property  i               0                                        const
.SendSIGHUP                         property  b               false                                    const
.SendSIGKILL                        property  b               true                                     const
.SetCredential                      property  a(say)          0                                        const
.Slice                              property  s               "system.slice"                           -
.SmackProcessLabel                  property  (bs)            false ""                                 const
.SocketBindAllow                    property  a(iiqq)         0                                        -
.SocketBindDeny                     property  a(iiqq)         0                                        -
.StandardError                      property  s               "null"                                   const
.StandardErrorFileDescriptorName    property  s               ""                                       const
.StandardInput                      property  s               "null"                                   const
.StandardInputData                  property  ay              0                                        const
.StandardInputFileDescriptorName    property  s               ""                                       const
.StandardOutput                     property  s               "journal"                                const
.StandardOutputFileDescriptorName   property  s               ""                                       const
.StartupBlockIOWeight               property  t               18446744073709551615                     -
.StartupCPUShares                   property  t               18446744073709551615                     -
.StartupCPUWeight                   property  t               18446744073709551615                     -
.StartupIOWeight                    property  t               18446744073709551615                     -
.StateDirectory                     property  as              0                                        const
.StateDirectoryMode                 property  u               493                                      const
.StatusErrno                        property  i               0                                        emits-change
.StatusText                         property  s               ""                                       emits-change
.SuccessExitStatus                  property  (aiai)          0 0                                      const
.SupplementaryGroups                property  as              0                                        const
.SyslogFacility                     property  i               3                                        const
.SyslogIdentifier                   property  s               ""                                       const
.SyslogLevel                        property  i               6                                        const
.SyslogLevelPrefix                  property  b               true                                     const
.SyslogPriority                     property  i               30                                       const
.SystemCallArchitectures            property  as              0                                        const
.SystemCallErrorNumber              property  i               2147483646                               const
.SystemCallFilter                   property  (bas)           false 0                                  const
.SystemCallLog                      property  (bas)           false 0                                  const
.TTYPath                            property  s               ""                                       const
.TTYReset                           property  b               false                                    const
.TTYVHangup                         property  b               false                                    const
.TTYVTDisallocate                   property  b               false                                    const
.TasksAccounting                    property  b               true                                     -
.TasksCurrent                       property  t               3                                        -
.TasksMax                           property  t               28341                                    -
.TemporaryFileSystem                property  a(ss)           0                                        const
.TimeoutAbortUSec                   property  t               90000000                                 -
.TimeoutCleanUSec                   property  t               18446744073709551615                     const
.TimeoutStartFailureMode            property  s               "terminate"                              const
.TimeoutStartUSec                   property  t               90000000                                 const
.TimeoutStopFailureMode             property  s               "terminate"                              const
.TimeoutStopUSec                    property  t               90000000                                 const
.TimerSlackNSec                     property  t               50000                                    const
.Type                               property  s               "dbus"                                   const
.UID                                property  u               0                                        emits-change
.UMask                              property  u               18                                       const
.USBFunctionDescriptors             property  s               ""                                       const
.USBFunctionStrings                 property  s               ""                                       const
.UnsetEnvironment                   property  as              0                                        const
.User                               property  s               "root"                                   const
.UtmpIdentifier                     property  s               ""                                       const
.UtmpMode                           property  s               "init"                                   const
.WatchdogSignal                     property  i               6                                        const
.WatchdogTimestamp                  property  t               0                                        -
.WatchdogTimestampMonotonic         property  t               0                                        -
.WatchdogUSec                       property  t               0                                        -
.WorkingDirectory                   property  s               ""                                       const
org.freedesktop.systemd1.Unit       interface -               -                                        -
.Clean                              method    as              -                                        -
.EnqueueJob                         method    ss              uososa(uosos)                            -
.Freeze                             method    -               -                                        -
.Kill                               method    si              -                                        -
.Ref                                method    -               -                                        -
.Reload                             method    s               o                                        -
.ReloadOrRestart                    method    s               o                                        -
.ReloadOrTryRestart                 method    s               o                                        -
.ResetFailed                        method    -               -                                        -
.Restart                            method    s               o                                        -
.SetProperties                      method    ba(sv)          -                                        -
.Start                              method    s               o                                        -
.Stop                               method    s               o                                        -
.Thaw                               method    -               -                                        -
.TryRestart                         method    s               o                                        -
.Unref                              method    -               -                                        -
.ActiveEnterTimestamp               property  t               1725747481855349                         emits-change
.ActiveEnterTimestampMonotonic      property  t               3306375                                  emits-change
.ActiveExitTimestamp                property  t               0                                        emits-change
.ActiveExitTimestampMonotonic       property  t               0                                        emits-change
.ActiveState                        property  s               "active"                                 emits-change
.After                              property  as              9 "sysinit.target" "systemd-journald.so… const
.AllowIsolate                       property  b               false                                    const
.AssertResult                       property  b               true                                     emits-change
.AssertTimestamp                    property  t               1725747481776350                         emits-change
.AssertTimestampMonotonic           property  t               3227375                                  emits-change
.Asserts                            property  a(sbbsi)        0                                        emits-invalidation
.Before                             property  as              2 "shutdown.target" "multi-user.target"  const
.BindsTo                            property  as              0                                        const
.BoundBy                            property  as              0                                        const
.CanClean                           property  as              0                                        const
.CanFreeze                          property  b               true                                     const
.CanIsolate                         property  b               false                                    const
.CanReload                          property  b               false                                    const
.CanStart                           property  b               true                                     const
.CanStop                            property  b               true                                     const
.CollectMode                        property  s               "inactive"                               const
.ConditionResult                    property  b               true                                     emits-change
.ConditionTimestamp                 property  t               1725747481776342                         emits-change
.ConditionTimestampMonotonic        property  t               3227368                                  emits-change
.Conditions                         property  a(sbbsi)        1 "ConditionVirtualization" false true … emits-invalidation
.ConflictedBy                       property  as              0                                        const
.Conflicts                          property  as              1 "shutdown.target"                      const
.ConsistsOf                         property  as              0                                        const
.DefaultDependencies                property  b               true                                     const
.Description                        property  s               "Modem Manager"                          const
.Documentation                      property  as              0                                        const
.DropInPaths                        property  as              0                                        const
.FailureAction                      property  s               "none"                                   const
.FailureActionExitStatus            property  i               -1                                       const
.Following                          property  s               ""                                       -
.FragmentPath                       property  s               "/lib/systemd/system/ModemManager.servi… const
.FreezerState                       property  s               "running"                                emits-change
.Id                                 property  s               "ModemManager.service"                   const
.IgnoreOnIsolate                    property  b               false                                    const
.InactiveEnterTimestamp             property  t               0                                        emits-change
.InactiveEnterTimestampMonotonic    property  t               0                                        emits-change
.InactiveExitTimestamp              property  t               1725747481777651                         emits-change
.InactiveExitTimestampMonotonic     property  t               3228676                                  emits-change
.InvocationID                       property  ay              16 234 175 13 15 85 199 78 160 147 72 7… emits-change
.Job                                property  (uo)            0 "/"                                    emits-change
.JobRunningTimeoutUSec              property  t               18446744073709551615                     const
.JobTimeoutAction                   property  s               "none"                                   const
.JobTimeoutRebootArgument           property  s               ""                                       const
.JobTimeoutUSec                     property  t               18446744073709551615                     const
.JoinsNamespaceOf                   property  as              0                                        const
.LoadError                          property  (ss)            "" ""                                    const
.LoadState                          property  s               "loaded"                                 const
.Markers                            property  as              0                                        -
.Names                              property  as              2 "ModemManager.service" "dbus-org.free… const
.NeedDaemonReload                   property  b               false                                    -
.OnFailure                          property  as              0                                        const
.OnFailureJobMode                   property  s               "replace"                                const
.OnFailureOf                        property  as              0                                        const
.OnSuccess                          property  as              0                                        const
.OnSuccessJobMode                   property  s               "fail"                                   const
.OnSuccessOf                        property  as              0                                        const
.PartOf                             property  as              0                                        const
.Perpetual                          property  b               false                                    const
.PropagatesReloadTo                 property  as              0                                        const
.PropagatesStopTo                   property  as              0                                        const
.RebootArgument                     property  s               ""                                       const
.Refs                               property  as              0                                        -
.RefuseManualStart                  property  b               false                                    const
.RefuseManualStop                   property  b               false                                    const
.ReloadPropagatedFrom               property  as              0                                        const
.RequiredBy                         property  as              0                                        const
.Requires                           property  as              5 "system.slice" "polkit.service" "sysi… const
.RequiresMountsFor                  property  as              1 "/var/tmp"                             const
.Requisite                          property  as              0                                        const
.RequisiteOf                        property  as              0                                        const
.SliceOf                            property  as              0                                        const
.SourcePath                         property  s               ""                                       const
.StartLimitAction                   property  s               "none"                                   const
.StartLimitBurst                    property  u               5                                        const
.StartLimitIntervalUSec             property  t               10000000                                 const
.StateChangeTimestamp               property  t               1725747481855349                         emits-change
.StateChangeTimestampMonotonic      property  t               3306375                                  emits-change
.StopPropagatedFrom                 property  as              0                                        const
.StopWhenUnneeded                   property  b               false                                    const
.SubState                           property  s               "running"                                emits-change
.SuccessAction                      property  s               "none"                                   const
.SuccessActionExitStatus            property  i               -1                                       const
.Transient                          property  b               false                                    const
.TriggeredBy                        property  as              0                                        const
.Triggers                           property  as              0                                        const
.UnitFilePreset                     property  s               "enabled"                                -
.UnitFileState                      property  s               "enabled"                                -
.WantedBy                           property  as              1 "multi-user.target"                    const
.Wants                              property  as              1 "tmp.mount"                            const
